description,HS6
wood tropical virola imbuia and balsa sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440722.0
wood tropical teak sawn or chipped lengthwise sliced or peeled planed square dressed structural thicker than 6mm,440723.0
wood tropical dark red meranti light red meranti and meranti bakau sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440725.0
wood tropical white lauan white meranti white seraya yellow meranti and alan sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440726.0
wood tropical sapelli sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440727.0
wood tropical iroko sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440728.0
wood tropical nec in item no 44072 sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed of a thickness exceeding 6mm,440729.0
wood oak quercus spp sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440791.0
wood beech fagus spp sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440792.0
wood maple acer spp sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440793.0
wood cherry prunus spp sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440794.0
wood ash fraxinus spp sawn or chipped lengthwise sliced or peeled whether or not planed sanded or fingerjointed thicker than 6mm,440795.0
wood of birch betula spp sawn or chipped lengthwise sliced or peeled of a thickness exceeding 6mm whether or not planed sanded or fingerjointed,440796.0
wood of poplar and aspen populus spp sawn or chipped lengthwise sliced or peeled of a thickness exceeding 6mm whether or not planed sanded or fingerjointed,440797.0
wood sawn or chipped lengthwise sliced or peeled of a thickness exceeding 6mm whether or not planed sanded or fingerjointed nec in heading no 4407,440799.0
wood coniferous sheets for veneering including those obtained by slicing laminated wood for plywood or similar laminated wood and other wood sawn lengthwise sliced or peeled planed or not sanded spliced or endjointed not over 6 mm thick,
wood coniferous sheets for veneering including those obtained by slicing laminated wood for plywood or similar laminated wood and other wood sawn lengthwise sliced or peeled planed or not sanded spliced or endjointed not over 6 mm thick,440810.0
wood tropical as specified in subheading note 2 to this chapter dark red meranti light red meranti meranti bakau sheets for veneer plywood or other wood sawn lengthwise sliced or peeled planed or not sanded or endjointed not thicker than 6mm,440831.0
wood of tropical wood as in subheading note 2 to this chapter nec in heading no 440831 sheets for veneer or plywood other wood sawn length wise sliced or peeled whether or not planed sanded or endjointed not thicker than 6mm,440839.0
wood nec in heading no 4408 sheets for veneer or plywood other wood sawn lengthwise sliced or peeled whether or not planed sanded or endjointed not exceeding 6mm in thickness,440890.0
wood coniferous including unassembled strips and friezes for parquet flooring continuously shaped along any edges ends or faces whether or not planed sanded or endjointed,
wood coniferous including unassembled strips and friezes for parquet flooring continuously shaped along any edges ends or faces whether or not planed sanded or endjointed,440910.0
wood bamboo including unassembled strips and friezes for parquet flooring continuously shaped along any edges ends or faces whether or not planed sanded or endjointed,440921.0
wood tropical including unassembled strips and friezes for parquet flooring continuously shaped along any edges ends or faces whether or not planed sanded or endjointed,440922.0
wood nonconiferous other than bamboo or tropical wood including unassembled strips and friezes for parquet flooring continuously shaped along any edges ends or faces whether or not planed sanded or endjointed,440929.0
particle board of wood whether or not agglomerated with resins or other organic binding substances,
particle board of wood whether or not agglomerated with resins or other organic binding substances,441011.0
oriented strand board osb of wood whether or not agglomerated with resins or other organic binding substances,441012.0
wafer board and similar board of wood nec in item no 44101 whether or not agglomerated with resins or other organic binding substances,441019.0
particle board oriented strand board osb and similar board of ligneous materials other than wood whether or not agglomerated with resins or other organic binding substances,441090.0
medium density fibreboard mdf of a thickness not exceeding 5 mm,
medium density fibreboard mdf of a thickness not exceeding 5 mm,441112.0
medium density fibreboard mdf of a thickness exceeding 5 mm but not exceeding 9 mm,441113.0
medium density fibreboard mdf of a thickness exceeding 9 mm,441114.0
fibreboard other than mdf of a density exceeding 08gcm3 of wood or other ligneous materials bonded or not with resins or other organic substances,441192.0
fibreboard other than mdf of a density exceeding 05gcm3 but not 08gcm3 of wood or other ligneous materials bonded or not with resins or other organic substances,441193.0
fibreboard other than mdf of a density not exceeding 05gcm3 of wood or other ligneous materials bonded or not with resins or other organic substances,441194.0
plywood veneered panels and similar laminated wood of bamboo,
plywood veneered panels and similar laminated wood of bamboo,441210.0
plywood consisting only of sheets of wood not bamboo each ply 6mm or thinner with at least one outer ply of tropical wood,441231.0
plywood with sheets of wood only not bamboo each ply 6mm or less with at least one outer ply of alder ash beech birch cherry chestnut elm eucalyptus hickory horse chestnut lime maple oak plane poplar aspen robinia tulipwood or walnut,441233.0
plywood consisting only of sheets of wood not bamboo each ply 6mm or thinner with at least one outer ply of nonconiferous wood not listed in subheading 441233,441234.0
plywood consisting only of sheets of wood not bamboo each ply 6mm or thinner with both outer plies of coniferous wood,441239.0
plywood veneered panels and similar laminated wood laminated veneered lumber lvl with at least one outer ply of tropical wood,441241.0
laminated veneered lumber lvl with at least one outer ply of nonconiferous wood,441242.0
laminated veneered lumber lvl with both outer plies of coniferous wood,441249.0
blockboard laminboard and battenboard with at least one outer layer of tropical wood,441251.0
blockboard laminboard and battenboard with at least one outer ply of nonconiferous wood not containing particle board,441252.0
blockboard laminboard and battenboard with both outer plies of coniferous wood,441259.0
plywood nec in heading 4412 with at least one outer ply of tropical wood,441291.0
plywood nec in heading 4412 with at least one outer ply of nonconiferous wood,441292.0
plywood nec in heading 4412 with both outer plies of coniferous wood,441299.0
wood densified wood in blocks plates strips or profile shapes,
wood densified wood in blocks plates strips or profile shapes,441300.0
wooden frames for paintings photographs mirrors or similar objects of tropical wood,
wooden frames for paintings photographs mirrors or similar objects of tropical wood,441410.0
wooden frames for paintings photographs mirrors or similar objects not of tropical wood,441490.0
wood cases boxes crates drums similar packings and cabledrums,
wood cases boxes crates drums similar packings and cabledrums,441510.0
wood pallets box pallets and other load boards pallet collars,441520.0
wood casks barrels vats tubs and other coopers products and parts thereof of wood including staves,
wood casks barrels vats tubs and other coopers products and parts thereof of wood including staves,441600.0
wood tools tool bodies tool handles broom or brush bodies and handles boot and shoe lasts and trees of wood,
wood tools tool bodies tool handles broom or brush bodies and handles boot and shoe lasts and trees of wood,441700.0
wood windows frenchwindows and their frames of tropical wood,
wood windows frenchwindows and their frames of tropical wood,441811.0
wood windows frenchwindows and their frames of other than tropical wood,441819.0
wood doors and their frames and thresholds of tropical wood,441821.0
wood doors and their frames and thresholds of other than tropical wood,441829.0
wood posts and beams other than products of subheadings 441881 to 441889,441830.0
wood shuttering for concrete constructional work,441840.0
wood shingles and shakes,441850.0
wood assembled flooring panels of bamboo or with at least the top layer wear layer of bamboo,441873.0
wood assembled flooring panels not of bamboo or with at least the top layer wear layer of bamboo for mosaic floors,441874.0
wood assembled flooring panels not of bamboo or with at least the top layer wear layer of bamboo multilayer,441875.0
wood assembled flooring panels nec in headings 441873 441874 or 441875,441879.0
wood engineered structural timber products gluelaminated timber glulam,441881.0
wood engineered structural timber products crosslaminated timber clt or xlam,441882.0
wood engineered structural timber products i beams,441883.0
wood engineered structural timber products other than gluelaminated timber glulam crosslaminated timber clt or xlam or i beams,441889.0
wood builders joinery and carpentry of wood nec in heading no 4418 of bamboo,441891.0
wood builders joinery and carpentry of wood nec in heading no 4418 cellular wood panels,441892.0
wood builders joinery and carpentry of wood nec in heading no 4418 other than of bamboo or cellular wood panels,441899.0
tableware and kitchenware of wood of bamboo bread boards chopping boards and similar boards,
tableware and kitchenware of wood of bamboo bread boards chopping boards and similar boards,441911.0
tableware and kitchenware of wood of bamboo chopsticks,441912.0
tableware and kitchenware of wood of bamboo nec in heading 4419,441919.0
tableware and kitchenware of wood of tropical wood,441920.0
tableware and kitchenware of wood not of bamboo or tropical wood,441990.0
wood statuettes and other ornaments of tropical wood,
wood statuettes and other ornaments of tropical wood,442011.0
wood statuettes and other ornaments of other than tropical wood,442019.0
wood marquetry and inlaid wood caskets and cases for jewellery or cutlery and similar articles of wood wooden articles of furniture not falling in chapter 94,442090.0
wood clothes hangers,
wood clothes hangers,442110.0
wood coffins,442120.0
wood of bamboo articles nec in heading no 4414 to 4420 excluding clothes hangers,442191.0
wood not of bamboo articles nec in heading no 4414 to 4420 excluding clothes hangers,442199.0
cork natural cork raw or simply prepared,
cork natural cork raw or simply prepared,
cork natural cork raw or simply prepared,450110.0
cork waste cork crushed granulated or ground cork,450190.0
cork natural cork debacked or roughly squared or in rectangular including square blocks plates sheets or strip including sharpedged blanks for corks or stoppers,
cork natural cork debacked or roughly squared or in rectangular including square blocks plates sheets or strip including sharpedged blanks for corks or stoppers,450200.0
cork corks and stoppers of natural cork,
cork corks and stoppers of natural cork,450310.0
cork articles of natural cork other than corks and stoppers,450390.0
cork blocks plates sheets and strip tiles of any shape solid cylinders including discs of agglomerated cork with or without a binding substance,
cork blocks plates sheets and strip tiles of any shape solid cylinders including discs of agglomerated cork with or without a binding substance,450410.0
cork articles of agglomerated cork with or without a binding substance nec in heading no 4504,450490.0
plaiting materials plaits and similar products of plaiting materials mats matting and screens of bamboo,
plaiting materials plaits and similar products of plaiting materials mats matting and screens of bamboo,
plaiting materials plaits and similar products of plaiting materials mats matting and screens of bamboo,460121.0
plaiting materials plaits and similar products of plaiting materials mats matting and screens of rattan,460122.0
plaiting materials plaits and similar products of plaiting materials mats matting and screens of vegetable materials other than bamboo or rattan,460129.0
plaiting materials plaits and similar products of plaiting materials not mats matting or screens of bamboo,460192.0
plaiting materials plaits and similar products of plaiting materials not mats matting or screens of rattan,460193.0
plaiting materials plaits and similar products of plaiting materials not mats matting or screens of vegetable materials other than bamboo or rattan,460194.0
plaiting materials plaits and similar products of plaiting materials products of nonvegetable materials,460199.0
basketwork wickerwork and other articles of bamboo made directly to shape from plaiting materials or made up from goods of heading no 4601,
basketwork wickerwork and other articles of bamboo made directly to shape from plaiting materials or made up from goods of heading no 4601,460211.0
basketwork wickerwork and other articles of rattan made directly to shape from plaiting materials or made up from goods of heading no 4601,460212.0
basketwork wickerwork and other articles of vegetable materials not bamboo or rattan made directly to shape from plaiting materials or made up from goods of heading no 4601 articles of loofah,460219.0
basketwork wickerwork and other articles of nonvegetable materials made directly to shape from plaiting materials or made up from goods of heading no 4601,460290.0
wood pulp mechanical wood pulp,
wood pulp mechanical wood pulp,
wood pulp mechanical wood pulp,470100.0
wood pulp chemical wood pulp dissolving grades,
wood pulp chemical wood pulp dissolving grades,470200.0
wood pulp chemical wood pulp soda or sulphate other than dissolving grades unbleached of coniferous wood,
wood pulp chemical wood pulp soda or sulphate other than dissolving grades unbleached of coniferous wood,470311.0
wood pulp chemical wood pulp soda or sulphate other than dissolving grades unbleached of nonconiferous wood,470319.0
wood pulp chemical wood pulp soda or sulphate other than dissolving grades semibleached or bleached of coniferous wood,470321.0
wood pulp chemical wood pulp soda or sulphate other than dissolving grades semibleached or bleached of nonconiferous wood,470329.0
wood pulp chemical wood pulp sulphite other than dissolving grades unbleached of coniferous wood,
wood pulp chemical wood pulp sulphite other than dissolving grades unbleached of coniferous wood,470411.0
wood pulp chemical wood pulp sulphite other than dissolving grades unbleached of nonconiferous wood,470419.0
wood pulp chemical wood pulp sulphite other than dissolving grades semibleached or bleached of coniferous wood,470421.0
wood pulp chemical wood pulp sulphite other than dissolving grades semibleached or bleached of nonconiferous wood,470429.0
wood pulp obtained by a combination of mechanical and chemical pulping processes,
wood pulp obtained by a combination of mechanical and chemical pulping processes,470500.0
pulp cotton linters pulp,
pulp cotton linters pulp,470610.0
pulp of fibres derived from recovered waste and scrap paper or paperboard,470620.0
pulp of bamboo,470630.0
pulp of fibrous cellulosic material other than of bamboo or fibres derived from recovered waste and scrap paper or paperboard or from cotton linters pulp mechanical,470691.0
pulp of fibrous cellulosic material other than of bamboo or fibres derived from recovered waste and scrap paper or paperboard or from cotton linters pulp chemical,470692.0
pulp of fibrous cellulosic material other than of bamboo or fibres derived from recovered waste and scrap paper or paperboard or from cotton linters pulp obtained by a combination of mechanical and chemical processes,470693.0
paper or paperboard waste and scrap of unbleached kraft paper or paperboard or corrugated paper or paperboard,
paper or paperboard waste and scrap of unbleached kraft paper or paperboard or corrugated paper or paperboard,470710.0
paper or paperboard waste and scrap paper or paperboard made mainly of bleached chemical pulp not coloured in the mass,470720.0
paper or paperboard waste and scrap paper or paperboard made mainly of mechanical pulp eg newspapers journals and similar printed matter,470730.0
paper or paperboard waste and scrap of paper or paperboard nec in heading no 4707 and of unsorted waste and scrap,470790.0
newsprint made of fibres obtained essentially by a chemimechanical process or of a weight per m2 of more than 57g but not more than 65g in rolls or sheets,
newsprint made of fibres obtained essentially by a chemimechanical process or of a weight per m2 of more than 57g but not more than 65g in rolls or sheets,
newsprint made of fibres obtained essentially by a chemimechanical process or of a weight per m2 of more than 57g but not more than 65g in rolls or sheets,480100.0
handmade paper or paperboard,
handmade paper or paperboard,480210.0
uncoated paper and paperboard not 4801 or 4803 of a kind used as a base for photosensitive heatsensitive or electrosensitive paper or paperboard in rolls or sheets,480220.0
uncoated paper and paperboard not 4801 or 4803 wallpaper base in rolls or sheets,480240.0
uncoated paper and paperboard not 4801 or 4803 printing writing or graphic 10 or less by weight of mechanical or chemimechanical processed fibre weighing less than 40gm2 in rolls or sheets,480254.0
uncoated paper and paperboard not 4801 or 4803 printing writing or graphic 10 or less by weight of mechanical or chemimechanical processed fibre weighing 40gm2 to 150gm2 in rolls,480255.0
uncoated paper and paperboard not 4801 or 4803 printing writing or graphic 10 or less by weight of mechanical or chemimechanical processed fibre weight 40150gm2 in sheets 435mm or less by 297mm or less unfolded,480256.0
uncoated paper and paperboard not 4801 or 4803 printing writing or graphic 10 or less by weight of mechanical or chemimechanical processed fibre weight 40150gm2 nec in item no 480255 or 480256,480257.0
uncoated paper and paperboard not 4801 or 4803 printing writing or graphic 10 or less by weight of mechanical or chemimechanical processed fibre weighing more than 150gm2,480258.0
uncoated paper and paperboard not 4801 or 4803 over 10 by weight of mechanical or chemimechanical processed fibre in rolls,480261.0
uncoated paper and paperboard not 4801 or 4803 over 10 by weight of mechanical or chemimechanical processed fibre in sheets 435mm or less by 297mm or less unfolded,480262.0
uncoated paper and paperboard not 4801 or 4803 over 10 by weight of mechanical or chemimechanical processed fibre other than rolls other than sheets 435mm or less by 297mm or less unfolded,480269.0
tissue towel napkin stock or similar for household or sanitary use cellulose wadding webs of cellulose fibres in rolls exceeding 36cm in width or rectangular sheets with one side more than 36cm in unfolded state,
tissue towel napkin stock or similar for household or sanitary use cellulose wadding webs of cellulose fibres in rolls exceeding 36cm in width or rectangular sheets with one side more than 36cm in unfolded state,480300.0
kraft paper and paperboard kraftliner uncoated unbleached in rolls or sheets other than that of heading no 4802 or 4803,
kraft paper and paperboard kraftliner uncoated unbleached in rolls or sheets other than that of heading no 4802 or 4803,480411.0
kraft paper and paperboard kraftliner uncoated bleached in rolls or sheets other than that of heading no 4802 or 4803,480419.0
kraft paper and paperboard sack kraft paper uncoated unbleached in rolls or sheets other than that of heading no 4802 or 4803,480421.0
kraft paper and paperboard sack kraft paper uncoated bleached in rolls or sheets other than that of heading no 4802 or 4803,480429.0
kraft paper and paperboard uncoated unbleached weight 150gm2 or less in rolls or sheets other than that of heading no 4802 or 4803,480431.0
kraft paper and paperboard uncoated bleached weight 150gm2 or less in rolls or sheets other than that of heading no 4802 or 4803,480439.0
kraft paper and paperboard uncoated unbleached weight more than 150gm2 but less than 225gm2 in rolls or sheets other than that of heading no 4802 or 4803,480441.0
kraft paper and paperboard uncoated weight between 150 and 225gm2 bleached uniformly throughout more than 95 of total fibre content consists of chemically processed wood fibres in rolls or sheets,480442.0
kraft paper and paperboard uncoated weight more than 150gm2 but less than 225gm2 in rolls or sheets nec in item no 48044 other than that of heading no 4802 or 4803,480449.0
kraft paper and paperboard uncoated unbleached weight 225gm2 or more in rolls or sheets other than that of heading no 4802 or 4803,480451.0
kraft paper and paperboard uncoated weight 225gm2 or more bleached uniformly throughout more than 95 of total fibre content consists of chemically processed wood fibres in rolls or sheets,480452.0
kraft paper and paperboard uncoated weight 225gm2 or more in rolls or sheets nec in item no 48045 other than that of heading no 4802 or 4803,480459.0
paper and paperboard uncoated semichemical fluting paper rolls or sheets,
paper and paperboard uncoated semichemical fluting paper rolls or sheets,480511.0
paper and paperboard uncoated straw fluting paper rolls or sheets,480512.0
paper and paperboard uncoated fluting paper other than semichemical or straw rolls or sheets,480519.0
paper  paperboard uncoated testliner recycled linerboard weight 150gm2 or less in rolls or sheets,480524.0
paper  paperboard uncoated testliner recycled linerboard weight over 150gm2 in rolls or sheets,480525.0
paper and paperboard sulphite wrapping paper uncoated in rolls or sheets,480530.0
paper and paperboard filter paper and paperboard uncoated in rolls or sheets,480540.0
paper and paperboard felt paper and paperboard uncoated in rolls or sheets,480550.0
paper and paperboard uncoated weight 150gm2 or less in rolls or sheets nec in heading no4805,480591.0
paper and paperboard uncoated weight more than 150gm2 but less than 225 gm2 in rolls or sheets nec in heading no 4805,480592.0
paper and paperboard uncoated weight 225m2 or more in rolls or sheets nec in heading no 4805,480593.0
paper vegetable parchment in rolls or sheets,
paper vegetable parchment in rolls or sheets,480610.0
paper greaseproof papers in rolls or sheets,480620.0
paper tracing papers in rolls or sheets,480630.0
paper glassine and other glazed transparent or translucent papers in rolls or sheets,480640.0
paper and paperboard composite made by sticking layers together with an adhesive not surfacecoated or impregnated whether or not internally reinforced in rolls or sheets,
paper and paperboard composite made by sticking layers together with an adhesive not surfacecoated or impregnated whether or not internally reinforced in rolls or sheets,480700.0
paper and paperboard corrugated whether or not perforated in rolls or sheets other than paper of heading 4803,
paper and paperboard corrugated whether or not perforated in rolls or sheets other than paper of heading 4803,480810.0
paper and paperboard kraft paper creped or crinkled whether or not embossed or perforated in rolls or sheets other than paper of heading 4803,480840.0
paper and paperboard other than corrugated with or without glued flat surface sheets or kraft paper creped or crinkled whether or not embossed or perforated in rolls or sheets other than paper of heading 4803,480890.0
paper selfcopy paper whether or not printed in rolls or sheets,
paper selfcopy paper whether or not printed in rolls or sheets,480920.0
paper carbon paper and other copying or transfer papers including coated or impregnated paper for duplicator stencils or offset plates whether or not printed in rolls or sheets,480990.0
paper and paperboard coated with kaolin or other inorganic substances for printing  writing graphics containing no or not more than 10 by weight of total fibres obtained by mechanical or chemimechanical process in rolls,
paper and paperboard coated with kaolin or other inorganic substances for printing  writing graphics containing no or not more than 10 by weight of total fibres obtained by mechanical or chemimechanical process in rolls,481013.0
paper and paperboard coated with kaolin or other inorganic substances for printingwritinggraphics having 10 or less by weight of total fibres got mechanicalchemimechanical process sheets sides 435mm or less by 297mm or less unfolded,481014.0
paper and paperboard coated with kaolin or other inorganic substances for printingwritinggraphics having 10 or less by weight of total fibres got by mechanicalchemimechanical process sides exceeding 435mm and 297mm unfolded sheets,481019.0
paper and paperboard coated with kaolin or other inorganic substances only having more than 10 of mechanical or chemimechanical processed fibres for writing printing or other graphic purposes lightweight coated paper in rolls or sheets,481022.0
paper and paperboard coated with kaolin or other inorganic substances only having more than 10 of mechanically processed fibres excluding lightweight paper for writing printing or other graphic purposes in rolls or sheets,481029.0
kraft paper and paperboard uniformly bleached throughout coated with inorganic substances more than 95 of chemically processed wood fibres weight 150gm2 or less for nongraphic purposes in rolls or sheets,481031.0
kraft paper and paperboard uniformly bleached throughout coated with inorganic substances more than 95 of chemically processed wood fibres weight more than 150gm2 for nongraphic purposes in rolls or sheets,481032.0
kraft paper and paperboard coated with kaolin or other inorganic substances only for nongraphic purposes nec in item no 481031 and 481032 in rolls or sheets,481039.0
paper and paperboard multiply coated with kaolin or other inorganic substances only for nongraphic purposes nec in heading no 4810 in rolls or sheets,481092.0
paper and paperboard coated with inorganic substances only whether or not surfacecoloured surfacedecorated or printed nec in heading no 4810 in rolls or sheets,481099.0
paper and paperboard tarred bituminised or asphalted in rolls or sheets other than goods of heading no 4803 4809 or 4810,
paper and paperboard tarred bituminised or asphalted in rolls or sheets other than goods of heading no 4803 4809 or 4810,481110.0
paper and paperboard selfadhesive in rolls or sheets other than goods of heading no 4803 4809 or 4810,481141.0
paper and paperboard gummed or adhesive paper and paperboard excluding selfadhesive in rolls or sheets other than goods of heading no 4803 4809 or 4810,481149.0
paper and paperboard coated impregnated or covered with plastics excluding adhesives bleached weighing more than 150gm2 other than goods of heading no 4803 4809 or 4810,481151.0
paper and paperboard coated impregnated or covered with plastics excluding adhesives other than bleached and weighing more than 150gm2 other than goods of heading no 4803 4809 or 4810,481159.0
paper and paperboard coated impregnated or covered with wax paraffin wax stearin oil or glycerol other than goods of heading no 4803 4809 or 4810,481160.0
paper paperboard cellulose wadding and webs of soft cellulose fibres coated impregnated covered surfacedecorated or surfacecoloured nec in heading no 4811 in rolls or sheets,481190.0
paper pulp filter blocks slabs and plates of paper pulp,
paper pulp filter blocks slabs and plates of paper pulp,481200.0
paper cigarette in the form of booklets or tubes,
paper cigarette in the form of booklets or tubes,481310.0
paper cigarette in rolls of a width not exceeding 5cm,481320.0
paper cigarette other than in rolls of a width not exceeding 5cm or in booklets or tubes,481390.0
wallpaper and similar wall coverings coated or covered on the face side with a grained embossed coloured designprinted or otherwise decorated layer of plastics,
wallpaper and similar wall coverings coated or covered on the face side with a grained embossed coloured designprinted or otherwise decorated layer of plastics,481420.0
wallpaper and similar wall coverings and window transparencies of paper nec in heading 4814,481490.0
paper selfcopy paper other than those of heading no 4809 whether or not put up in boxes,
paper selfcopy paper other than those of heading no 4809 whether or not put up in boxes,481620.0
paper carbon paper and other copying or transfer papers other than those of heading no 4809 nec in item no 481620,481690.0
paper and paperboard envelopes,
paper and paperboard envelopes,481710.0
paper and paperboard letter cards plain postcards and correspondence cards,481720.0
paper and paperboard boxes pouches wallets and writing compendiums containing an assortment of paper stationery,481730.0
paper articles toilet paper,
paper articles toilet paper,481810.0
paper articles handkerchiefs cleansing or facial tissues and towels,481820.0
paper articles tablecloths and serviettes of paper cellulose wadding or fibres,481830.0
paper articles apparel and clothing accessories of paper cellulose wadding or fibres,481850.0
paper articles articles of paper cellulose wadding or fibres nec in heading no 4818,481890.0
paper and paperboard cartons boxes and cases of corrugated paper or paperboard,
paper and paperboard cartons boxes and cases of corrugated paper or paperboard,481910.0
paper and paperboard folding cartons boxes and cases of noncorrugated paper or paperboard,481920.0
paper and paperboard sacks and bags of paper paperboard cellulose wadding or fibres having a base of a width of 40cm or more,481930.0
paper and paperboard sacks and bags including cones of paper paperboard cellulose wadding or fibres having a base width less than 40cm,481940.0
paper and paperboard packing containers including record sleeves of paper paperboard cellulose wadding or fibres nec in heading no 4819,481950.0
paper and paperboard box files letter trays storage boxes and similar articles used in offices shops or the like of paper paperboard cellulose wadding or webs of cellulose fibres,481960.0
paper and paperboard registers account books note books order books receipt books letter pads memorandum pads diaries and similar articles,
paper and paperboard registers account books note books order books receipt books letter pads memorandum pads diaries and similar articles,482010.0
paper and paperboard exercise books,482020.0
paper and paperboard binders folders and file covers,482030.0
paper and paperboard manifold business forms and interleaved carbon sets,482040.0
paper and paperboard albums for samples or for collections,482050.0
paper or paperboard stationery nec in heading no 4820,482090.0
paper and paperboard labels or all kinds printed,
paper and paperboard labels or all kinds printed,482110.0
paper and paperboard labels of all kinds unprinted,482190.0
paper pulp paper or paperboard bobbins spools cops and similar supports of a kind used for winding textile yarn whether or not perforated or hardened,
paper pulp paper or paperboard bobbins spools cops and similar supports of a kind used for winding textile yarn whether or not perforated or hardened,482210.0
paper pulp paper or paperboard bobbins spools cops and similar supports other than of a kind used for winding textile yarn whether or not perforated or hardened,482290.0
paper and paperboard filter paper and paperboard,
paper and paperboard filter paper and paperboard,482320.0
paper and paperboard rolls sheets and dials printed for selfrecording apparatus,482340.0
paper and paperboard trays dishes plates cups and the like of bamboo paper or paperboard,482361.0
paper and paperboard trays dishes plates cups and the like of paper or paperboard other than of bamboo,482369.0
paper pulp moulded or pressed articles or paper pulp,482370.0
paper pulp paper paperboard cellulose wadding or webs of cellulose fibres articles nec in heading no 4823,482390.0
printed matter in single sheets whether or not folded,
printed matter in single sheets whether or not folded,
printed matter in single sheets whether or not folded,490110.0
printed matter dictionaries encyclopaedias and serial instalments thereof,490191.0
printed matter books brochures leaflets and similar printed matter nec in item no 490110 or 490191,490199.0
newspapers journals and periodicals whether or not illustrated or containing advertising material appearing at least four times a week,
newspapers journals and periodicals whether or not illustrated or containing advertising material appearing at least four times a week,490210.0
newspapers journals and periodicals whether or not illustrated or containing advertising material appearing less frequently than four times a week,490290.0
printed matter childrens picture drawing or colouring books,
printed matter childrens picture drawing or colouring books,490300.0
music printed or in manuscript whether or not bound or illustrated,
music printed or in manuscript whether or not bound or illustrated,490400.0
maps and hydrographic or similar charts printed in book form including atlases topographical plans and similar,
maps and hydrographic or similar charts printed in book form including atlases topographical plans and similar,490520.0
maps and hydrographic or similar charts printed other than in book form including wall maps topographical plans and similar,490590.0
plans and drawings for architectural engineering industrial commercial topographical or similar being originals drawn by hand handwritten texts photo graphic reproductions their carbon copies,
plans and drawings for architectural engineering industrial commercial topographical or similar being originals drawn by hand handwritten texts photo graphic reproductions their carbon copies,490600.0
unused postage revenue or similar stamps of current or new issue in the country in which they have or will have a recognised face value stampimpressed paper cheque forms banknotes stock share or bond certificates and the like of similar title,
unused postage revenue or similar stamps of current or new issue in the country in which they have or will have a recognised face value stampimpressed paper cheque forms banknotes stock share or bond certificates and the like of similar title,490700.0
printed matter transfers decalcomanias vitrifiable,
printed matter transfers decalcomanias vitrifiable,490810.0
printed matter transfers decalcomanias other than vitrifiable,490890.0
printed or illustrated postcards printed cards bearing personal greetings messages or announcements whether or not illustrated with or without envelopes or trimmings,
printed or illustrated postcards printed cards bearing personal greetings messages or announcements whether or not illustrated with or without envelopes or trimmings,490900.0
calendars printed of any kind including calendar blocks,
calendars printed of any kind including calendar blocks,491000.0
printed matter trade advertising material commercial catalogues and the like,
printed matter trade advertising material commercial catalogues and the like,491110.0
printed matter pictures designs and photographs nec in item no 491110,491191.0
printed matter nec in heading no 4911,491199.0
silk silkworm cocoons suitable for reeling,
silk silkworm cocoons suitable for reeling,
silk silkworm cocoons suitable for reeling,500100.0
silk raw silk not thrown,
silk raw silk not thrown,500200.0
silk waste including cocoons unsuitable for reeling yarn waste and garnetted stock,
silk waste including cocoons unsuitable for reeling yarn waste and garnetted stock,500300.0
silk yarn other than yarn spun from silk waste not put up for retail sale,
silk yarn other than yarn spun from silk waste not put up for retail sale,500400.0
silk yarn spun from silk waste not put up for retail sale,
silk yarn spun from silk waste not put up for retail sale,500500.0
silk yarn and yarn spun from silk waste put up for retail sale and silkworm gut,
silk yarn and yarn spun from silk waste put up for retail sale and silkworm gut,500600.0
silk woven fabrics of noil silk,
silk woven fabrics of noil silk,500710.0
silk woven fabrics containing 85 or more by weight of silk or of silk waste other than noil silk,500720.0
silk woven fabrics nec in heading no 5007,500790.0
wool not carded or combed greasy including fleecewashed wool shorn,
wool not carded or combed greasy including fleecewashed wool shorn,
wool not carded or combed greasy including fleecewashed wool shorn,510111.0
wool other than shorn greasy including fleecewashed wool not carded or combed,510119.0
wool not carded or combed degreased not carbonised shorn,510121.0
wool not carded or combed degreased not carbonised other than shorn,510129.0
wool not carded or combed carbonised,510130.0
hair fine animal hair not carded or combed of kashmir cashmere goats,
hair fine animal hair not carded or combed of kashmir cashmere goats,510211.0
hair fine animal hair not carded or combed other than of kashmir cashmere goats,510219.0
hair coarse animal hair not carded or combed,510220.0
wool and hair noils of wool or of fine animal hair including yarn waste but excluding garnetted stock,
wool and hair noils of wool or of fine animal hair including yarn waste but excluding garnetted stock,510310.0
wool and hair waste of wool or of fine animal hair including yarn waste but excluding garnetted stock and noils of wool or of fine animal hair,510320.0
